Sample,Label
73813,Kombucha1
73837,Kombucha2
73814,Kombucha3
74607,Kombucha4
74573,Kombucha5
74561,Kombucha6
75657,Kombucha7
75637,Kombucha8
75625,Kombucha9
78351,Kombucha10
75519,Kombucha11
